Date,Baseline,Adverse,Funding Stress A,Funding Stress B
2024Q1,360721.8396784756,351519.21263036196,354661.2432749741,346446.78675205185
2024Q2,362650.9647787417,348453.0269134759,352667.47482088173,342424.9853817328
2024Q3,363180.7083311104,345177.7365499184,349696.5556445421,341409.3603289993
2024Q4,365197.3500169301,343502.4228059201,348611.4732265085,340777.6296394954
2025Q1,369552.37595380883,343963.5042470457,349710.95406838635,342377.5236779215
2025Q2,368951.89651263814,339964.2143608322,345436.5032081538,339280.9814948047
2025Q3,366202.0949282363,334169.39926100924,339842.36484952696,334006.0161242835
2025Q4,368924.62897251436,335425.65411507734,341197.41098983947,337450.6316306375
2026Q1,371162.2204922199,338103.9448412928,343427.2582417304,340834.969828749
2026Q2,372551.48794940335,340009.074215057,344697.2367288399,343287.30274351564
2026Q3,374550.026718527,342438.1336884537,347343.0999402892,346406.45907271275
2026Q4,375565.7805774213,343879.6721910144,349185.60512744717,348474.7159205205
2027Q1,377079.21681501623,345872.5468159553,351350.9121995931,351145.0763944746
